persons_count,landing_year,skill_level1_eng_desc,skill_level2_eng_desc
14790,2005,Higher-skilled,B - Skilled and Technical
70840,2005,Intending to work,New Workers (15 Years of Age or Older)
6180,2005,Lower-skilled,C - Intermediate and Clerical
805,2005,Lower-skilled,D - Elemental and Labourers
35860,2005,Not intending to work,Others Non-Workers (15 Years of Age or Older)
3600,2005,Not intending to work,Retired (15 Years of Age or Older)
27420,2005,Not intending to work,Students (15 Years of Age or Older)
900,2005,Not stated,Not stated
8865,2006,Higher-skilled,0 - Managerial
28360,2006,Higher-skilled,A - Professionals
13775,2006,Higher-skilled,B - Skilled and Technical
70790,2006,Intending to work,New Workers (15 Years of Age or Older)
6410,2006,Lower-skilled,C - Intermediate and Clerical
580,2006,Lower-skilled,D - Elemental and Labourers
36495,2006,Not intending to work,Others Non-Workers (15 Years of Age or Older)
6420,2006,Not intending to work,Retired (15 Years of Age or Older)
27605,2006,Not intending to work,Students (15 Years of Age or Older)
995,2006,Not stated,Not stated
8890,2007,Higher-skilled,0 - Managerial
27605,2007,Higher-skilled,A - Professionals
15030,2007,Higher-skilled,B - Skilled and Technical
64225,2007,Intending to work,New Workers (15 Years of Age or Older)
7170,2007,Lower-skilled,C - Intermediate and Clerical
675,2007,Lower-skilled,D - Elemental and Labourers
33285,2007,Not intending to work,Others Non-Workers (15 Years of Age or Older)
6385,2007,Not intending to work,Retired (15 Years of Age or Older)
24685,2007,Not intending to work,Students (15 Years of Age or Older)
520,2007,Not stated,Not stated
11290,2008,Higher-skilled,0 - Managerial
28950,2008,Higher-skilled,A - Professionals
17040,2008,Higher-skilled,B - Skilled and Technical
61275,2008,Intending to work,New Workers (15 Years of Age or Older)
9840,2008,Lower-skilled,C - Intermediate and Clerical
785,2008,Lower-skilled,D - Elemental and Labourers
34745,2008,Not intending to work,Others Non-Workers (15 Years of Age or Older)
6975,2008,Not intending to work,Retired (15 Years of Age or Older)
25735,2008,Not intending to work,Students (15 Years of Age or Older)
305,2008,Not stated,Not stated
11750,2009,Higher-skilled,0 - Managerial
27260,2009,Higher-skilled,A - Professionals
18640,2009,Higher-skilled,B - Skilled and Technical
64285,2009,Intending to work,New Workers (15 Years of Age or Older)
10460,2009,Lower-skilled,C - Intermediate and Clerical
1130,2009,Lower-skilled,D - Elemental and Labourers
34150,2009,Not intending to work,Others Non-Workers (15 Years of Age or Older)
7795,2009,Not intending to work,Retired (15 Years of Age or Older)
26145,2009,Not intending to work,Students (15 Years of Age or Older)
240,2009,Not stated,Not stated
14975,2010,Higher-skilled,0 - Managerial
32235,2010,Higher-skilled,A - Professionals
19055,2010,Higher-skilled,B - Skilled and Technical
71030,2010,Intending to work,New Workers (15 Years of Age or Older)
11025,2010,Lower-skilled,C - Intermediate and Clerical
1810,2010,Lower-skilled,D - Elemental and Labourers
35245,2010,Not intending to work,Others Non-Workers (15 Years of Age or Older)
7235,2010,Not intending to work,Retired (15 Years of Age or Older)
27170,2010,Not intending to work,Students (15 Years of Age or Older)
225,2010,Not stated,Not stated
13010,2011,Higher-skilled,0 - Managerial
28840,2011,Higher-skilled,A - Professionals
17895,2011,Higher-skilled,B - Skilled and Technical
62640,2011,Intending to work,New Workers (15 Years of Age or Older)
10125,2011,Lower-skilled,C - Intermediate and Clerical
2620,2011,Lower-skilled,D - Elemental and Labourers
28675,2011,Not intending to work,Others Non-Workers (15 Years of Age or Older)
6975,2011,Not intending to work,Retired (15 Years of Age or Older)
24915,2011,Not intending to work,Students (15 Years of Age or Older)
145,2011,Not stated,Not stated
11975,2012,Higher-skilled,0 - Managerial
32490,2012,Higher-skilled,A - Professionals
20705,2012,Higher-skilled,B - Skilled and Technical
67500,2012,Intending to work,New Workers (15 Years of Age or Older)
9265,2012,Lower-skilled,C - Intermediate and Clerical
3390,2012,Lower-skilled,D - Elemental and Labourers
23645,2012,Not intending to work,Others Non-Workers (15 Years of Age or Older)
11960,2012,Not intending to work,Retired (15 Years of Age or Older)
24580,2012,Not intending to work,Students (15 Years of Age or Older)
140,2012,Not stated,Not stated
10270,2013,Higher-skilled,0 - Managerial
28410,2013,Higher-skilled,A - Professionals
17595,2013,Higher-skilled,B - Skilled and Technical
77800,2013,Intending to work,New Workers (15 Years of Age or Older)
7745,2013,Lower-skilled,C - Intermediate and Clerical
2625,2013,Lower-skilled,D - Elemental and Labourers
16890,2013,Not intending to work,Others Non-Workers (15 Years of Age or Older)
26820,2013,Not intending to work,Retired (15 Years of Age or Older)
22405,2013,Not intending to work,Students (15 Years of Age or Older)
90,2013,Not stated,Not stated
9595,2014,Higher-skilled,0 - Managerial
28175,2014,Higher-skilled,A - Professionals
22955,2014,Higher-skilled,B - Skilled and Technical
90690,2014,Intending to work,New Workers (15 Years of Age or Older)
6520,2014,Lower-skilled,C - Intermediate and Clerical
2145,2014,Lower-skilled,D - Elemental and Labourers
14535,2014,Not intending to work,Others Non-Workers (15 Years of Age or Older)
14310,2014,Not intending to work,Retired (15 Years of Age or Older)
22850,2014,Not intending to work,Students (15 Years of Age or Older)
35,2014,Not stated,Not stated
8955,2015,Higher-skilled,0 - Managerial
27340,2015,Higher-skilled,A - Professionals
22690,2015,Higher-skilled,B - Skilled and Technical
102345,2015,Intending to work,New Workers (15 Years of Age or Older)
5140,2015,Lower-skilled,C - Intermediate and Clerical
2175,2015,Lower-skilled,D - Elemental and Labourers
12345,2015,Not intending to work,Others Non-Workers (15 Years of Age or Older)
11570,2015,Not intending to work,Retired (15 Years of Age or Older)
24815,2015,Not intending to work,Students (15 Years of Age or Older)
50,2015,Not stated,Not stated
9730,2016,Higher-skilled,0 - Managerial
26020,2016,Higher-skilled,A - Professionals
22220,2016,Higher-skilled,B - Skilled and Technical
118300,2016,Intending to work,New Workers (15 Years of Age or Older)
4365,2016,Lower-skilled,C - Intermediate and Clerical
2085,2016,Lower-skilled,D - Elemental and Labourers
9180,2016,Not intending to work,Others Non-Workers (15 Years of Age or Older)
14590,2016,Not intending to work,Retired (15 Years of Age or Older)
23440,2016,Not intending to work,Students (15 Years of Age or Older)
105,2016,Not stated,Not stated
